,Network Architecture,Activation Function,Drop Rate,Optimizer,N Epochs,Weight Decay,Learning Rate,Batch Size,Lambda,Total Accuracy,Human Accuracy,Human F1,Mouse Accuracy,Mouse F1
0,"[128, 128, 64, 32, 16]","['selu', 'selu', 'selu', 'selu', 'selu']","[0.4, 0.4, 0.4, 0.4, 0.4]",adam,500,0.0001,0.01,32,0.3,0.984313725490196,0.76,0.8333333333333334,0.9713114754098361,0.974910394265233
1,"[128, 128, 64, 32, 16]","['selu', 'selu', 'selu', 'selu', 'selu']","[0.4, 0.4, 0.4, 0.4, 0.4]",adam,500,0.0001,0.01,32,0.35,0.9882352941176471,0.78,0.8493150684931509,0.9754098360655737,0.9785714285714285
