transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-47.281253814697266,42.250003814697266,-81.93750762939453,560.7186963961847,-5.3125,-132.00283278119875,-6.218750476837158,-52.09375,0.0006199999999998429,4.247777752812349,513593674_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-40.093753814697266,31.625001907348633,-71.40625,475.6832383463865,-15.281250953674316,-168.42679260926266,8.687500953674316,-50.40625,0.00048000000000003595,2.8242729733026226,583822407_54
Vip+,GABAergic,positive,aspiny,L6b,-42.875003814697266,45.500003814697266,-64.90625762939453,517.297287913439,1.1875001192092896,-158.4242787993953,21.312501907348633,-56.593753814697266,0.0005900000000000905,3.2652652221852096,585080288_41
Sst+,GABAergic,positive,aspiny,L5,-45.187503814697266,14.093750953674316,-66.53125762939453,220.08580698081562,-15.562500953674316,-128.47223506448825,-14.375,-62.281253814697266,0.000700000000000145,1.713100164174312,572410577_57
Glutamatergic,Glutamatergic,positive,spiny,L4,-50.437503814697266,36.718753814697266,-80.53125762939453,528.9976439354743,-10.500000953674316,-138.09025575809852,2.937500238418579,-53.562503814697266,0.0006200000000000649,3.8308108058120562,470098860_50
Pvalb+,GABAergic,positive,aspiny,L5,-42.53125,41.0625,-67.75000762939453,451.6541947898428,-0.4687500298023224,-161.2690728079204,21.25,-56.125003814697266,0.000560000000000116,2.800624986092564,580537822_49
Glutamatergic,Glutamatergic,positive,spiny,L4,-49.468753814697266,32.0,-78.78125762939453,354.4634571298242,-10.781250953674316,-88.95556120868791,9.281250953674316,-52.40625,0.0008349999999999191,3.9847250954694133,479091820_88
Pvalb+,GABAergic,positive,aspiny,L5,-50.125003814697266,1.5625,-73.84375762939453,370.09578703965127,-21.031251907348633,-271.69609192752444,-17.531251907348633,-64.87500762939453,0.0002649999999999597,1.3621682388364098,475549334_78
Glutamatergic,Glutamatergic,negative,spiny,L6b,-51.718753814697266,34.0,-76.62500762939453,334.2983988324741,-9.937500953674316,-110.45894288469066,-3.781250238418579,-57.531253814697266,0.0008600000000000829,3.0264493765928213,501799874_52
Glutamatergic,Glutamatergic,positive,spiny,L4,-48.843753814697266,36.187503814697266,-74.75000762939453,422.3105102826266,-8.65625,-104.08419047917465,13.187500953674316,-51.750003814697266,0.0007600000000000939,4.057393426786782,490283519_63
