transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,threshold_i,peak_v,peak_i,trough_v,trough_i,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Glutamatergic,Glutamatergic,positive,spiny,L4,-35.73249816894531,79.99500274658203,35.73875045776367,79.97000122070312,-56.01124954223633,60.41999816894531,323.9139941502718,-5.056250095367432,-95.38614108119556,11.348750114440918,-47.23749923706055,79.42500305175781,0.0008424000000002963,3.3962297285950314,0.199214145383104,-48.5,-48.5416666666667,-49.8020846048991,165.931616,0.0578400000000001,37.5312538146973,33.9375012715658,30.1770846048991,230.044677853584,0.0323442555963993,1.174152448,35.8412916818504,50.0,53.7916679382324,700.0,-36.1562538146973,-37.0520858764648,-42.6458358764648,-55.90625,-54.1770858764648,-74.2916717529297,3.52229179453099,3.13235424317262,2.98939106121672,-98.4375,-73.2083282470703,480087928_49
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-36.77509307861328,173.90530395507812,24.415246963500977,172.96591186523438,-57.84375,141.89962768554688,269.69414710864237,-7.192708492279053,-54.7678095729539,-9.036458015441895,-54.092803955078125,161.5,0.0011378787878785314,4.954614531993449,0.175000009621892,-56.9062538146973,-53.0937538146973,-58.4000030517578,294.03296,0.04234,25.5000019073486,26.7604179382324,29.2812511444092,192.455351352692,0.047018401324749,1.365867776,10.3367179880801,110.0,86.1666666666667,520.0,-36.6562538146973,-34.7708358764648,-38.1625015258789,-59.0625038146973,-57.2812538146973,-75.2812545776367,4.47381298910879,4.22485123751265,2.9167237540295,-96.28125,-75.0899429321289,522257166_47
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-41.60491180419922,65.29463958740234,15.647321701049805,64.97321319580078,-57.83258819580078,47.00893020629883,297.9035921247576,-9.091517448425293,-159.4542052212693,-6.042410850524902,-54.86383819580078,63.32143020629883,0.000477500000000194,1.8594973321837915,0.016193853427896,-59.78125,,-60.7812507629395,215.16488,0.0079900000000001,28.1875,,36.4562507629395,259.218811988831,0.120430812239647,2.356759808,15.4281779451872,40.0,,180.0,-43.84375,,-47.28125,-59.90625,,-67.0125015258789,1.8614059156048,,1.83421609035415,-95.0312576293945,-67.1809234619141,327970859_36
Vip+,GABAergic,positive,aspiny,L6b,-36.81743240356445,50.516448974609375,11.453947067260742,50.21052551269531,-51.109375,40.42434310913086,140.29207006671132,-16.186677932739258,-60.93082624717627,-8.1233549118042,-49.36266326904297,48.6940803527832,0.0010663157894740787,2.2921155941176075,0.0437125757718643,-51.21875,-56.4218788146973,-59.4296913146973,565.300608,0.0134000000000001,-0.906250059604645,41.2500019073486,42.5468769073486,287.031292915344,0.021590469405055,1.012008448,16.4532571940948,30.0,14.9374990463257,220.0,-43.5000038146973,-42.5625019073486,-42.9765644073486,-51.375,-56.5312519073486,-66.5546913146973,2.49393673910252,2.61853892667167,2.70130041852684,-98.9375076293945,-66.0934371948242,591517805_46
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-37.625465393066406,399.7015075683594,37.069496154785156,399.4029846191406,-53.353546142578125,310.578369140625,363.4301524633317,-3.7252798080444336,-91.76149698133074,12.349813461303711,-47.76912307739258,388.8805847167969,0.0008620895522385678,4.041931328888895,0.0313543562831141,-47.78125,-49.4166692097982,-51.6718775431315,217.039808,0.0410600000000001,40.28125,44.3854179382324,45.8958346048991,134.687542915344,0.0297235641628504,1.500039552,15.4000760796152,150.0,102.5,850.0,-36.1562538146973,-35.1145858764648,-46.5729192097982,-51.0312538146973,-54.5937512715658,-81.8697967529297,3.63151189770886,3.51441913294978,4.30041403575102,-96.59375,-81.1610488891602,513593674_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-34.783382415771484,65.58806610107422,14.990767478942871,65.33238983154297,-52.01278305053711,50.5198860168457,244.27001249434207,-13.960227012634277,-99.0469383534672,-5.339488506317139,-47.134944915771484,64.19318389892578,0.0006645454545454479,2.4402012311477423,0.0241279069767442,-50.15625,-48.1718769073486,-50.4625030517578,488.886816,0.01658,24.3750019073486,27.6875019073486,27.5625007629395,283.593744039536,0.223368838429451,2.50825472,16.3125149554193,40.0,38.8125,300.0,-38.75,-34.546875,-40.6250022888184,-50.2187538146973,-48.2812519073486,-71.2,2.73294815696455,2.67344188794207,2.79558430284264,-101.812507629395,-70.6770324707031,583822407_54
Vip+,GABAergic,positive,aspiny,L6b,-34.07190704345703,76.65534210205078,31.472997665405273,76.19538879394531,-45.135013580322266,66.708740234375,222.86065693186393,1.5940533876419067,-88.82407222122127,8.837985038757324,-43.59951400756836,74.18082427978516,0.0008583495145631035,2.430692241865292,0.0191964285714286,-49.4687538146973,-48.2656269073486,-56.875002179827,259.695984,0.0217000000000001,46.3125038146973,46.1875019073486,46.4598230634417,231.875032186508,0.0808565691113472,1.131306752,18.3563685750736,50.0,40.9375,320.0,-39.8125,-39.203125,-42.1875027247838,-49.6562538146973,-48.4843769073486,-65.3169653756278,3.42351007502397,3.4750199869342,3.18528463938305,-89.7812576293945,-64.7030563354492,585080288_41
Sst+,GABAergic,positive,aspiny,L5,-43.662109375,51.6640625,23.263671875,51.390625,-62.8046875,45.1640625,219.21485772506364,-9.60546875,-125.51846813253064,-8.642578125,-61.794925689697266,50.2890625,0.0007574999999997445,1.7444624031855025,0.122592591027686,-62.4687538146973,-59.9791704813639,-63.5437507629395,280.244416,0.0259200000000002,25.4375,21.1041673024495,17.2437511444092,322.187542915344,0.0160705652087927,1.08599296,37.8183672710174,30.0,22.7083333333333,300.0,-45.53125,-46.0729179382324,-47.6937507629395,-62.6250076293945,-60.1458358764648,-67.7875045776367,1.97094406925803,1.91984535256829,1.77009599971949,-99.28125,-67.0471649169922,572410577_57
Glutamatergic,Glutamatergic,positive,spiny,L4,-41.27941131591797,171.64706420898438,34.22242736816406,171.22425842285156,-62.24816131591797,132.0183868408203,383.28852717801334,-6.832720756530762,-125.07014798647891,9.90349292755127,-54.34191131591797,166.54043579101562,0.0006908823529410397,3.0633587583194934,0.227150547425861,-54.0937538146973,-52.6145871480306,-53.9375030517578,142.898272,0.0379450000000001,35.1875,35.53125,37.1125015258789,179.687470197678,0.0325120091438293,2.195178496,26.756291884707,100.0,85.5416666666667,900.0,-42.28125,-39.2395858764648,-50.2500022888184,-60.6562538146973,-58.9791704813639,-80.8625015258789,3.27833411953462,3.04928209126213,3.71275261041441,-99.1875076293945,-80.1294937133789,470098860_50
Pvalb+,GABAergic,positive,aspiny,L5,-39.02304458618164,209.0088348388672,38.782196044921875,208.75631713867188,-53.867740631103516,183.02398681640625,364.4721330838062,3.089646577835083,-112.93512274443628,17.110795974731445,-52.73674392700195,204.14772033691406,0.0007242424242426024,3.2367183804061526,0.265588245744275,-53.3750038146973,-51.5625038146973,-56.4270871480306,208.152768,0.10786,39.6875038146973,40.1875,42.3125038146973,174.999997019768,0.0284262932837009,1.633232384,10.7532585271745,130.0,105.625,440.0,-39.8125,-38.3125038146973,-42.0312525431315,-54.0937538146973,-54.1875038146973,-68.9479242960612,3.03724719576329,3.26637812113907,2.76693118516629,-80.65625,-68.0887222290039,580537822_49
