dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
spiny,L3,0.0036,-47.875003814697266,53.343753814697266,-70.93750762939453,351.49814480939915,10.500000953674316,-82.56115774106195,-17.46875,-56.031253814697266,0.0011399999999999189,4.257427517087504,571483807_14
spiny,L3,0.0034,-43.3125,36.718753814697266,-73.5625,281.144963588155,0.9375000596046448,-112.10648674840391,-10.03125,-56.125003814697266,0.0008600000000000829,2.5078385001852515,569101823_23
aspiny,L2,0.00362,-46.09375,32.093753814697266,-69.71875762939453,344.40615742341373,-1.3750001192092896,-188.872284682401,11.5625,-63.43750762939453,0.000520000000000076,1.8234870087082995,571435969_12
spiny,L5,0.00366,-48.531253814697266,34.625,-73.78125,285.26418795016536,4.968750476837158,-125.03745585007773,-13.78125,-57.65625,0.0007399999999999629,2.2814298804368067,548421866_18
spiny,L4,0.004,-50.218753814697266,45.343753814697266,-70.8125,341.5239742129722,9.625000953674316,-86.58958059325307,30.000001907348633,-54.937503814697266,0.0009999999999998899,3.9441694009034522,539540199_17
spiny,L3,0.0036,-46.90625,39.5625,-75.53125,318.21736610675066,-0.09375,-112.32142129953851,-13.9375,-53.656253814697266,0.0008799999999999919,2.8330959706976047,531529716_22
spiny,L5,0.00352,-43.0,39.09375,-67.9375,387.5075870113612,-0.21875,-176.90862351520832,-10.53125,-54.343753814697266,0.0005399999999999849,2.1904392183462345,545193484_10
spiny,L5,0.00348,-46.59375,41.875,-74.34375762939453,341.8433742741452,4.531250476837158,-118.72137117423816,-17.9375,-62.000003814697266,0.0007800000000000029,2.879375220257928,508309649_15
spiny,L3,0.00356,-50.593753814697266,40.84375,-72.21875,305.8852553239594,3.093750238418579,-98.06990878643124,-7.062500476837158,-54.687503814697266,0.0008999999999999009,3.119053123523259,528617195_17
aspiny,L5,0.00334,-46.687503814697266,27.0,-74.56250762939453,460.4347334828847,-9.46875,-252.91726051825293,-7.6875,-64.53125,0.00039999999999995595,1.820495495401965,587710671_15
aspiny,L2,0.0031,-43.750003814697266,44.000003814697266,-62.59375,486.3820834506895,1.0,-179.26098213011323,25.25,-61.718753814697266,0.000560000000000116,2.713262404741586,571517139_10
spiny,L3,0.00376,-43.656253814697266,38.53125,-74.53125762939453,253.95650349548825,5.125,-91.29881084421962,23.000001907348633,-49.187503814697266,0.0008799999999999919,2.781597056382328,508390405_79
spiny,L5,0.0036,-43.500003814697266,51.968753814697266,-77.5,424.79164737023893,9.937500953674316,-111.08607273548706,39.343753814697266,-45.343753814697266,0.0007599999999998719,3.823986544035388,526816192_30
spiny,L5,0.00386,-44.25,47.906253814697266,-69.00000762939453,294.9974904231478,7.406250476837158,-70.5384207588262,35.843753814697266,-57.4375,0.0012199999999999989,4.182082434645886,571471295_21
spiny,L5,0.00294,-43.375,42.093753814697266,-65.6875,375.4939465197629,-2.500000238418579,-127.8800468788873,1.03125,-54.187503814697266,0.0007199999999998319,2.936298161318207,541566142_11
spiny,L3,0.00362,-42.937503814697266,48.65625,-66.46875,300.8853525716455,3.125,-76.51294015933705,26.906251907348633,-52.656253814697266,0.0010999999999998789,3.932476675776101,587770251_26
spiny,L3,0.00364,-48.03125,38.000003814697266,-74.6875,278.9404140226781,1.6875,-93.8572591808181,-15.75,-52.187503814697266,0.0009600000000000719,2.9719641981585374,528697733_23
spiny,L3,0.00364,-54.875,48.03125,-77.43750762939453,347.1240912335797,9.6875,-114.79781559155441,27.906251907348633,-48.843753814697266,0.0007600000000000939,3.023786554167825,527901472_38
aspiny,L3,0.00326,-48.09375,13.0,-71.09375,410.21592815508956,-16.34375,-275.96095352053635,-6.937500476837158,-63.156253814697266,0.00031999999999987594,1.4864998939951926,528734156_13
spiny,L3,0.0035,-49.156253814697266,53.000003814697266,-74.56250762939453,457.3476080980252,11.000000953674316,-90.43097083765177,34.15625,-51.28125,0.0009199999999998099,5.057422295278559,528038990_35
spiny,L3,0.0032,-47.031253814697266,41.25,-71.3125,390.15642654389853,-3.5,-108.73352038094431,-16.71875,-53.312503814697266,0.0007600000000000939,3.588189043976488,548408551_18
spiny,L4,0.0033,-45.0,36.906253814697266,-70.0625,305.81570098400016,-1.40625,-69.39823204945527,-13.5625,-57.468753814697266,0.0011200000000000099,4.406678555817772,567731428_15
aspiny,L3,0.00322,-43.71875,29.625001907348633,-72.21875,458.3544944044928,-4.125,-269.09055111412965,1.9375001192092896,-57.65625,0.00035999999999991594,1.703346670876193,643589588_11
spiny,L5,0.00262,-45.0,38.1875,-57.90625,318.9985234718561,2.125,-118.70949833689035,20.468751907348633,-55.781253814697266,0.0007399999999999629,2.687219876597892,545152345_8
