dendrite_type,layer,threshold_t,threshold_v,threshold_i,peak_t,peak_v,peak_i,trough_t,trough_v,trough_i,upstroke,upstroke_t,upstroke_v,downstroke,downstroke_t,downstroke_v,fast_trough_t,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
spiny,L2,17.990501176470588,-35.29043960571289,214.19117736816406,17.991171764705886,35.150733947753906,212.0955810546875,18.722761176470588,-54.90808868408203,146.6544189453125,211.21627924682275,17.990880000000004,2.191176414489746,-84.94119992312183,17.991612941176474,7.016544342041016,17.993480000000005,-49.680145263671875,203.38235473632812,0.0009705882352939454,2.485095682662005,,248.36,0.0718128682400153,1.28348,5.77421333333333,1.026304,-50.0,-48.7083346048991,-53.0750015258789,117.16936,0.0931400000000002,1.28138,5.77219333333333,1.02454,42.0,44.3750012715658,42.8937530517578,124.218940734863,0.029933275654912,1.870672384,36.3162163557091,130.0,118.749994913737,1730.0,1.28078,5.77158,1.024,-35.15625,-35.1458358764648,-42.1687515258789,1.32954,5.82392666666667,1.810196,-54.15625,-50.1354192097982,-70.93125,2.73192781069483,2.71804746344547,2.72207946707052,-84.6875,-70.2807083129883,616647103_78
spiny,L5,17.538043636363636,-33.31108093261719,48.54545593261719,17.53872909090909,40.1761360168457,48.51704406738281,17.609039090909093,-54.923301696777344,39.875,218.3155722435068,17.538448181818183,8.928977012634277,-70.04698528557982,17.539096363636368,22.123579025268555,17.542050000000003,-50.1605110168457,46.755680084228516,0.0011545454545457514,3.1192461861397316,0.0214086891876433,60.736,0.234293677485656,1.1889,1.98818666666667,1.02576,-52.2812538146973,-50.5937525431315,-53.28125,325.284704,0.0273600000000001,1.18566,1.98502666666667,1.02349,40.6875,41.5520858764648,41.8437519073486,376.322120428085,0.125462770462036,1.137630592,42.3265429509794,30.0,24.125,420.0,1.185,1.98441333333333,1.02298,-33.3125038146973,-34.5416666666667,-40.0312519073486,1.20192,2.00651333333333,1.49343,-55.59375,-54.4270871480306,-61.6562538146973,3.10724068195182,3.44755800508656,3.31453683106023,-94.4687576293945,-59.6191024780273,567776248_49
spiny,L4,18.31261441860465,-38.088661193847656,85.90116119384766,18.313273023255817,22.793603897094727,85.41569519042969,18.3973511627907,-48.395347595214844,65.39825439453125,191.70380481444104,18.312916744186047,-11.539971351623535,-79.10551162897559,18.313767441860463,-4.022529125213623,18.315375813953487,-45.40625,82.43313598632812,0.0009613953488371664,2.435032048697677,0.0732240985030477,61.476,0.283797909407666,1.13008,3.82354,1.02490666666667,-46.6875038146973,-49.7500019073486,-48.5625025431315,234.6812,0.0375800000000002,1.12844,3.82173,1.02348,21.7500019073486,36.515625,26.4375012715658,237.500190734863,0.0553101375699043,1.848702976,28.7207371426116,50.0,70.0625,520.0,1.12784,3.82117,1.02298,-37.875,-39.5625,-38.3645858764648,1.1301,3.82364,1.02499333333333,-46.7812538146973,-49.8281269073486,-48.6458358764648,2.29278125347082,2.56364107703403,2.25299568719566,-100.562507629395,-71.6849517822266,542143598_49
spiny,L3,17.860698181818183,-40.09659194946289,327.8465881347656,17.86114363636364,46.474430084228516,327.375,18.00133454545455,-56.291194915771484,221.52841186523438,397.761151816358,17.86094909090909,5.2897725105285645,-87.00507668641592,17.861489090909092,23.352272033691406,17.863347272727275,-48.603694915771484,324.8125,0.000884545454545234,4.596046833457471,,6.83999999999996,0.0593750009792187,1.11688,9.72222666666667,1.025008,-50.0,-52.3229192097982,-47.6250015258789,70.14132,0.0638400000000001,1.11514,9.72003333333333,1.023496,50.2812538146973,38.6875,46.4937515258789,68.9061731100082,0.211630612611771,1.80020224,20.7504039518502,190.0,217.499994913737,2070.0,1.11474,9.71948666666667,1.023064,-42.65625,-42.6979166666667,-49.3125038146973,1.11696,9.79449333333333,1.025052,-50.0625038146973,-54.1145871480306,-47.6812515258789,4.46920730828021,3.29464073892411,4.18388566693171,-78.0,-70.6380004882812,531520401_68
spiny,L5,17.23645875,-39.181640625,145.3203125,17.237005000000003,44.849609375,144.875,17.373440000000002,-56.505859375,111.9609375,322.11211515662666,17.236775,6.171875,-81.41969756010674,17.237358750000002,24.009767532348633,17.239755000000002,-53.49609375,143.78125,0.0010212500000001956,3.964872206117446,0.975858514620517,368.66,0.0785947712418301,1.27802,4.22080666666667,1.025868,-53.1875,-56.0833358764648,-50.8812515258789,109.751536,0.05206,1.27558,4.21818666666667,1.023716,46.0625038146973,43.7708346048991,40.9937515258789,136.718824505806,0.179732665419579,1.108502784,26.8857603438525,70.0,79.9583333333333,820.0,1.27506,4.21761333333333,1.023192,-39.9062538146973,-41.2500012715658,-44.5562538146973,1.39012,4.22167333333333,1.026132,-59.2500038146973,-56.7708371480306,-51.0250015258789,3.90618458032267,3.81411698303088,3.75634592212295,-82.5937576293945,-67.7251434326172,527942865_48
aspiny,L1,16.747781739130435,-40.494564056396484,30.434782028198242,16.74834434782609,36.40217208862305,30.315217971801758,17.035491304347826,-52.95448303222656,25.095108032226562,282.26149336490425,16.748095652173916,1.4164402484893799,-98.53934395446933,16.748702173913042,11.80298900604248,16.750238695652175,-49.71127700805664,29.809782028198242,0.0008495652173913479,2.8535937126189244,0.0022993310134938,42.4365217391304,0.269957289982678,1.06238,1.95143333333333,1.024688,-55.59375,-52.0208358764648,-55.4687522888184,391.444032,0.00922,1.06094,1.94974,1.023356,45.5937538146973,45.9895846048991,44.7875,359.687656164169,0.490941017866135,1.107142784,19.3225660036044,20.0,23.25,160.0,1.06052,1.94926,1.022956,-45.2500038146973,-44.2812512715658,-46.6812515258789,1.07656,1.96932,1.048904,-59.09375,-56.5833358764648,-62.6125015258789,3.13816525716283,3.23845564143813,2.89068636512902,-99.7187576293945,-60.6698036193848,596049209_49
aspiny,L3,18.355861212121212,-43.57054901123047,258.5890197753906,18.356166212121217,24.647016525268555,258.75946044921875,18.37715075757576,-67.79332733154297,254.79640197753906,455.96613326318885,18.35605393939394,-9.701704978942871,-321.06022119638754,18.3562993939394,-4.925662994384766,18.356818939393943,-67.65648651123047,258.29071044921875,0.0003431818181821084,1.4196296351151563,0.0151484521881279,35.6115384615385,0.57433037251842,1.05714,9.88847333333334,1.02394666666667,-67.4687576293945,-61.6458371480306,-66.750005086263,122.644168,0.0234000000000001,1.0565,9.88756,1.02330333333333,26.0312519073486,14.8958339691162,30.5677092870076,94.6875363588333,0.0380150601267815,1.143135616,13.2589154509282,150.0,221.874994913737,680.0,1.05622,9.88718,1.02302333333333,-40.4375,-33.5937512715658,-49.5937525431315,1.05716,9.88853333333333,1.73082,-67.5,-61.7083358764648,-70.1979192097982,1.38866009007699,1.26637041387296,1.52743254671206,-79.8750076293945,-69.4666900634766,529807751_50
spiny,L3,18.124536666666668,-34.58767318725586,580.2882080078125,18.12508166666667,46.98090362548828,579.6041870117188,18.14092777777778,-54.80381774902344,523.2916870117188,322.47011482728277,18.124803888888895,3.480034828186035,-76.85761233660389,18.12538277777778,30.63802146911621,18.128230000000006,-53.71006774902344,562.3090209960938,0.0011405555555553547,4.213200514784959,0.0537970240463523,277.586666666667,0.0489648033126294,1.18492,12.5469066666667,1.025992,-55.9687538146973,-58.8125025431315,-57.2437507629395,51.794348,0.0802800000000001,1.18156,12.5438466666667,1.02336,48.25,48.9375012715658,43.8687522888184,30.1563255488873,0.0917372032999992,1.530968704,18.2145543156739,330.0,288.083333333333,2100.0,1.18102,12.5432933333333,1.022888,-35.15625,-38.09375,-36.2312515258789,1.18558,12.5476466666667,1.11706,-56.2500038146973,-59.2500025431315,-66.8187545776367,4.03782926493653,3.80893454083247,3.96737641720349,-71.53125,-66.5653762817383,539563223_82
spiny,L4,16.928293548387096,-36.56098937988281,113.54435729980469,16.92885935483871,40.702117919921875,113.23789978027344,16.95455677419355,-48.65322494506836,86.58467864990234,282.30013165470456,16.928613225806455,5.105846881866455,-78.44282204155917,16.92925967741936,18.190019607543945,16.931027741935488,-46.368446350097656,109.30242156982422,0.0009806451612904723,3.6213541527256665,0.0343700669974722,53.2341176470588,0.23125,1.09984,3.51582666666667,1.02495,-49.1875038146973,-50.8854192097982,-52.1406269073486,206.588976,0.0316400000000001,1.098,3.51378666666667,1.02356,44.0000038146973,44.9270846048991,44.8593788146973,235.937610268593,0.114412367343903,1.563847424,21.8468212600082,70.0,62.3333320617676,380.0,1.09756,3.51329333333333,1.02316,-35.6250038146973,-39.2916666666667,-45.4062538146973,1.09984,3.53664,1.19076,-49.1875038146973,-51.8229192097982,-68.671875,3.76342246579714,4.09470529094805,3.27958020012936,-96.3125076293945,-69.0038452148438,489308885_40
aspiny,L3,16.02088626506024,-41.28350830078125,29.608434677124023,16.02152795180723,36.711971282958984,29.409639358520508,16.09496578313253,-56.20143127441406,26.528614044189453,259.8490570695828,16.02123518072289,-1.942771077156067,-84.4618311164501,16.021888192771083,15.931852340698242,16.02399325301205,-54.925453186035156,28.335844039916992,0.0010149397590362929,3.0875181146799657,0.0078078960147654,21.365652173913,0.566559738474756,1.22496,1.41876,1.02548,-56.9687538146973,-56.8645858764648,-57.7734413146973,464.684576,0.0139800000000001,1.223,1.41675333333333,1.02354,39.9062538146973,41.2604192097982,43.3281259536743,298.749953508377,0.0759210661053658,3.116900608,14.3873486560622,10.0,9.91666666666667,260.0,1.22244,1.41616666666667,1.023055,-43.4375038146973,-43.8854179382324,-40.7421894073486,1.22526,1.41918666666667,1.528325,-57.1250038146973,-57.0625025431315,-72.3984413146973,2.95273688453768,2.92970360924739,3.08032736459601,-98.6250076293945,-70.7114715576172,601927090_44
spiny,L3,18.22170564102564,-42.90705108642578,580.0096435546875,18.222243589743588,31.14022445678711,579.7692260742188,18.303130769230773,-54.98557662963867,443.6730651855469,274.14245164930844,18.221989743589745,-5.315705299377441,-99.18286411378794,18.222860512820517,-13.316506385803223,18.223957435897436,-50.23397445678711,574.2692260742188,0.0008676923076924353,2.7776970304516855,,7.23999999999991,0.058035719054085,1.10674,15.6067666666667,1.024885,-49.84375,-53.9062512715658,-52.5390653610229,41.254088,0.0574600000000001,1.1053,15.60518,1.02359,34.2500038146973,37.6979192097982,34.8750019073486,42.4999222159386,0.293877989053726,1.720347136,15.3617365679641,330.0,364.583323160807,2080.0,1.10482,15.6047,1.02312,-43.5625,-45.3541679382324,-53.2109394073486,1.10684,15.6720866666667,1.115245,-49.9062538146973,-57.3645858764648,-76.1406307220459,2.86234130571679,3.04683006771591,2.63039641075435,-78.6562576293945,-73.9350891113281,517673596_69
spiny,L5,17.88783538461539,-34.471153259277344,120.14423370361328,17.888433846153852,40.13220977783203,119.03845977783203,18.33093846153846,-54.668270111083984,83.02884674072266,244.08666894070242,17.888152307692305,4.810096263885498,-77.78785767721646,17.88874,23.788461685180664,17.891160000000003,-48.480770111083984,113.26923370361328,0.001041538461538521,3.1369758000564256,0.140634119549914,139.516666666667,0.105186971295507,1.20372,3.40975333333333,1.02528,-49.5000038146973,-49.6458346048991,-51.6718769073486,107.089224,0.0521200000000002,1.20124,3.40737333333333,1.02336,39.71875,40.9895846048991,39.9531269073486,85.9378799796104,0.0736179947853088,1.431481856,50.0250547479963,60.0,59.5833307902018,900.0,1.20068,3.40680666666667,1.0229,-34.0,-34.4375,-42.9062538146973,1.27004,3.4438,1.74747,-54.625,-54.7187538146973,-64.1406307220459,3.20013668236165,3.07572220210141,3.35566302413722,-84.7187576293945,-64.2503051757812,528042185_48
aspiny,L4,17.274621200000002,-41.100624084472656,78.51249694824219,17.2749856,31.751249313354492,78.4124984741211,17.286617600000003,-64.91500091552734,71.07250213623047,405.88722113829084,17.2748144,-8.970624923706055,-200.58270269106538,17.275169200000004,5.298749923706055,17.2761512,-64.14562225341797,77.69499969482422,0.0004987999999995551,2.02357281218068,0.0062276304535599,50.281052631579,0.33205329153605,1.07872,2.00016,1.02444,-65.4062576293945,-66.8020858764648,-67.3046894073486,251.145504,0.0204600000000001,1.0777,1.99905333333333,1.02348,33.5,31.333335240682,35.7500019073486,150.156363844872,0.223950326442719,3.316643072,12.6810133510552,50.0,24.4583333333333,360.0,1.07734,1.99867333333333,1.02316,-42.4687538146973,-44.9791666666667,-45.3828144073486,1.07884,2.01458666666667,1.044305,-65.5937576293945,-67.6145884195964,-69.8984432220459,2.0395561123338,2.02476223635091,2.09120835995383,-83.4687576293945,-66.0316390991211,571427524_61
spiny,L5,17.199575000000003,-36.64583206176758,73.27083587646484,17.20020166666667,46.63801956176758,73.67708587646484,17.312488333333334,-58.35416793823242,61.42708206176758,265.14010828156466,17.199918333333333,8.708333015441895,-69.35925113516896,17.200518333333335,31.17708396911621,17.204083333333333,-51.32551956176758,74.05208587646484,0.0012433333333325969,3.822730089865202,0.0660277519201384,153.704,0.0984806629834255,1.18602,2.52877333333333,1.02656,-52.6250038146973,-53.9375012715658,-54.5937531789144,124.907208,0.0634400000000002,1.18232,2.52497333333333,1.02364666666667,47.3437538146973,47.2291679382324,45.7343769073486,172.50007390976,0.243734210729599,1.45998592,37.3102155991494,50.0,37.625,710.0,1.18172,2.52437333333333,1.02310333333333,-37.40625,-39.0833333333333,-42.5625031789144,1.22852,2.57176,1.09715,-58.15625,-59.5312538146973,-64.0885467529297,3.86667566526034,3.94430119961877,3.52002371125791,-81.1875,-60.9080238342285,601950719_58
spiny,L6,17.60785636363637,-45.22159194946289,72.09091186523438,17.60847090909091,40.78409194946289,71.6477279663086,18.124138181818182,-62.46875,54.20454406738281,322.4783539862556,17.608245454545454,3.7301137447357178,-103.2952926876469,17.60885272727273,11.505681991577148,17.61088181818182,-59.68465805053711,69.48863983154297,0.0008781818181824845,3.1221755619660003,0.0273991381831315,66.1771428571429,0.1895,1.12968,2.51255333333333,1.02582,-59.8125,-59.1666692097982,-60.3125019073486,149.865504,0.0298,1.12748,2.51014666666667,1.023795,42.8750038146973,43.0312538146973,43.2421884536743,228.571400046349,0.0504920482635498,1.308784,36.6217557904979,50.0,37.25,570.0,1.12694,2.50958,1.02329,-44.8750038146973,-45.6770833333333,-48.6171913146973,1.1303,2.53214,1.796965,-60.1562538146973,-61.1041704813639,-70.09375,3.42229220672034,3.53730252854233,3.32928671676528,-96.40625,-69.9031982421875,529988200_56
